Qty,Value,Device,Package,Parts,Description,PROD_ID,SF_SKU,VALUE,
1,,ATSAMD21G-A,TQFP-48,SAMD21,Atmel SAMD21G SMART ARM-Based Microcontroller,IC-13064,,,
5,,HEADER,1X02,"BUZZ, FAN, K-TYPE, RELAY, SWITCH",0.1” Header,,,,
1,,HEADER,1X04_NO_SILK,J1,0.1” Header,CONN-09696,,,
1,,HEADER,1X14_NO_SILK,TFT,0.1” Header,,,,
1,,USB-B-MICRO-SMD,USB-B-MICRO-SMD,J2,USB Type Micro-B Connector,CONN-11752,,,
2,0.1uF,CAPACITOR,0805,"C3, C7",Ceramic Capacitors,,,,
1,100k,RESISTOR,0805,R1,RESISTOR,,,,
4,10k,RESISTOR,0805,"R4, R5, R6, R11",RESISTOR,,,,
1,10nF,CAPACITOR,0805,C5,Ceramic Capacitors,,,,
2,10uF,CAPACITOR,0805,"C6, C8",Ceramic Capacitors,,,,
2,12pF,CAPACITOR,0805,"C2, C4",Ceramic Capacitors,,,,
1,1K2,RESISTOR,0805,R9,RESISTOR,,,,
2,1uF,CAPACITOR,0805,"C1, C14",Ceramic Capacitors,,,,
2,2K,RESISTOR,0805,"R3, R8",RESISTOR,,,,
1,300R,RESISTOR,0805,R7,RESISTOR,,,,
1,32.768,XTAL-3.2X1.5,XTAL3215,X2,SMT Crsytal,,,,
1,430k,RESISTOR,0805,R2,RESISTOR,,,,
1,600mA/40V,TRANS_NPN-MMBT2222AL,SOT23-3,Q1,NPN transistor,TRANS-08049,,600mA/40V,
1,AP2112K,VREG_SOT23-5,SOT23-5,LDO,SOT23-5 Fixed Voltage Regulators,,,,
1,GENERIC-SOIC8,GENERIC-SOIC8,SO08-UNIVERSAL,MAX31855,Generic narrow & wide SOIC8,,,,
1,GR,LED,0805,13,LED,,,,
1,MBR120,DIODESOD-123,SOD-123,D1,Diode,,,,
4,SWITCH-SPST,SWITCH-SPST,TACTILE_SWITCH_PTH_RIGHT_ANGLE_KIT,"B1, B2, B3, B4",Momentary Switch (Pushbutton) - SPST,CONN-10672,COM-10791,,
1,RD,LED,0805,1,LED,,,,
1,SPST_TACT-KMR2,SPST_TACT-KMR2,KMR2,SW1,"SMT 6mm switch, EVQQ2 series",,,,
1,YEL,LED,0805,2,LED,,,,
